Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Nov 24 2013,6:00 pm,Phoenix Suns,104,Orlando Magic,96,Box Score,,15785,
Mon Nov 25 2013,7:00 pm,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,13558,
Mon Nov 25 2013,8:30 pm,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,19677,
Mon Nov 25 2013,7:30 pm,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,12150,
Mon Nov 25 2013,7:00 pm,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,16426,
Mon Nov 25 2013,8:00 pm,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,15246,
Mon Nov 25 2013,7:30 pm,Phoenix Suns,92,Miami Heat,107,Box Score,,19758,
Mon Nov 25 2013,10:00 pm,New York Knicks,91,Portland Trail Blazers,102,Box Score,,19939,
Mon Nov 25 2013,8:30 pm,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,18323,
Mon Nov 25 2013,9:00 pm,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,18936,
Tue Nov 26 2013,7:30 pm,Orlando Magic,109,Atlanta Hawks,92,Box Score,,13164,
Tue Nov 26 2013,8:00 pm,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,15330,
Tue Nov 26 2013,7:00 pm,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,16421,
Tue Nov 26 2013,7:00 pm,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,19204,
Wed Nov 27 2013,7:30 pm,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,17319,
Wed Nov 27 2013,7:30 pm,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,17732,
Wed Nov 27 2013,7:00 pm,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,15170,
Wed Nov 27 2013,7:30 pm,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,20562,
Wed Nov 27 2013,8:30 pm,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,20211,
Wed Nov 27 2013,7:30 pm,Chicago Bulls,99,Detroit Pistons,79,Box Score,,14228,
Wed Nov 27 2013,8:00 pm,Atlanta Hawks,84,Houston Rockets,113,Box Score,,18051,
